order_id,customer_id,customer_age,customer_gender,city,state,product_id,product_category,brand,quantity,unit_price,discount_percent,coupon_used,payment_method,order_status,customer_rating,delivery_days,customer_tenure_months,is_repeat_customer,warehouse,sales_channel,profit_margin_percent,returned_flag,marketing_source,order_date,total_amount
ORD00011,CUST2685,20,Other,Mumbai,DL,PROD327,Electronics,BrandA,4,2451.34,5,Yes,Card,Returned,4,7,46,0,WH-B,Mobile App,35.91,0,Google,2024-08-29,9315.09
ORD00012,CUST1769,65,Male,Hyderabad,WB,PROD217,Sports,BrandD,3,2030.09,5,Yes,Net Banking,Shipped,1,9,22,0,WH-A,Website,26.33,1,Direct,2024-01-22,5785.76
ORD00013,CUST7949,18,Male,Hyderabad,DL,PROD544,Electronics,BrandB,4,2652.91,20,No,Net Banking,Cancelled,2,14,37,1,WH-A,Mobile App,12.99,1,Email,2025-05-01,8489.31
ORD00014,CUST3433,44,Male,Mumbai,WB,PROD207,Home,BrandB,4,1060.8,5,Yes,UPI,Delivered,1,12,39,0,WH-A,Website,19.91,0,Email,2025-07-25,4031.04
ORD00015,CUST6311,65,Other,Delhi,KA,PROD341,Beauty,BrandD,2,1001.84,0,No,COD,Shipped,4,6,12,1,WH-A,Website,30.38,0,Email,2024-02-11,2003.68
ORD00016,CUST6051,41,Female,Delhi,DL,PROD710,Beauty,BrandB,2,1823.39,10,Yes,Card,Delivered,2,9,20,1,WH-A,Website,37.42,0,Facebook,2025-11-24,3282.1
ORD00017,CUST7420,61,Female,Hyderabad,KA,PROD633,Home,BrandA,1,2421.2,0,No,COD,Cancelled,5,8,52,0,WH-A,Website,21.8,1,Email,2025-07-15,2421.2
ORD00018,CUST2184,36,Other,Delhi,TS,PROD580,Electronics,BrandC,3,1774.47,15,Yes,Net Banking,Cancelled,4,1,36,1,WH-C,Website,12.83,0,Google,2025-06-13,4524.9
ORD00019,CUST5555,25,Male,Hyderabad,TS,PROD602,Sports,BrandC,4,2925.15,20,Yes,COD,Delivered,5,8,57,0,WH-C,Website,16.01,0,Direct,2024-01-08,9360.48
ORD00020,CUST4385,61,Other,Chennai,KA,PROD597,Fashion,BrandD,1,1619.03,20,Yes,Card,Cancelled,4,11,1,1,WH-C,Mobile App,19.93,1,Google,2024-05-04,1295.22
ORD00021,CUST7396,64,Other,Mumbai,WB,PROD155,Electronics,BrandB,4,968.13,15,No,COD,Shipped,2,10,58,0,WH-A,Website,30.56,0,Facebook,2025-03-16,3291.64
ORD00022,CUST9666,19,Female,Hyderabad,TS,PROD248,Electronics,BrandC,1,4327.86,10,No,Card,Returned,1,11,7,0,WH-B,Mobile App,8.69,0,Email,2025-07-02,3895.07
ORD00023,CUST3558,47,Other,Delhi,WB,PROD410,Home,BrandB,4,1082.95,20,Yes,Card,Returned,5,13,35,0,WH-A,Website,6.66,1,Google,2025-02-21,3465.44
ORD00024,CUST8849,47,Other,Delhi,DL,PROD651,Home,BrandD,2,4836.54,15,No,Card,Cancelled,2,5,42,0,WH-A,Mobile App,39.92,0,Email,2024-12-26,8222.12
ORD00025,CUST3047,66,Male,Kolkata,TN,PROD761,Fashion,BrandB,5,4938.28,15,Yes,UPI,Returned,5,9,12,0,WH-C,Mobile App,17.29,1,Facebook,2025-09-03,20987.69
ORD00026,CUST3747,56,Male,Kolkata,TS,PROD220,Sports,BrandA,1,3514.34,30,Yes,Net Banking,Shipped,3,9,32,1,WH-B,Mobile App,13.93,1,Direct,2024-07-20,2460.04
ORD00027,CUST1189,62,Female,Delhi,TS,PROD871,Beauty,BrandA,1,2559.8,30,No,Net Banking,Returned,2,12,25,0,WH-B,Website,27.01,0,Facebook,2024-10-22,1791.86
ORD00028,CUST3734,49,Male,Chennai,MH,PROD125,Books,BrandB,5,3997.55,15,Yes,Net Banking,Returned,2,1,8,1,WH-B,Website,37.6,0,Google,2024-02-04,16989.59
ORD00029,CUST4005,18,Other,Bangalore,WB,PROD211,Sports,BrandA,2,4378.69,30,Yes,Card,Shipped,1,11,15,0,WH-B,Website,20.39,0,Facebook,2024-05-12,6130.17
ORD00030,CUST5658,55,Other,Hyderabad,KA,PROD610,Sports,BrandD,1,3577.0,30,No,Card,Shipped,1,3,41,1,WH-A,Website,33.38,1,Google,2024-12-11,2503.9
ORD00031,CUST2899,30,Other,Kolkata,MH,PROD980,Books,BrandA,2,600.02,15,Yes,COD,Delivered,4,3,38,1,WH-A,Mobile App,14.63,1,Instagram,2024-11-22,1020.03
ORD00032,CUST8734,28,Female,Hyderabad,DL,PROD122,Books,BrandA,4,114.64,5,No,Card,Cancelled,1,3,16,0,WH-C,Mobile App,23.73,0,Google,2024-05-14,435.63
ORD00033,CUST2267,27,Male,Kolkata,MH,PROD780,Electronics,BrandC,4,1040.32,10,No,Card,Shipped,4,10,7,0,WH-A,Mobile App,24.26,1,Email,2024-05-19,3745.15
ORD00034,CUST2528,65,Other,Mumbai,MH,PROD925,Fashion,BrandC,5,1023.81,25,No,UPI,Returned,1,6,47,0,WH-B,Website,13.23,0,Instagram,2024-12-24,3839.29
ORD00035,CUST4556,43,Male,Mumbai,TN,PROD363,Electronics,BrandD,3,994.34,15,Yes,Card,Shipped,1,8,39,1,WH-B,Website,25.03,1,Direct,2024-05-01,2535.57
ORD00036,CUST4890,37,Male,Delhi,TN,PROD215,Home,BrandA,2,2597.88,30,Yes,Card,Shipped,4,3,40,0,WH-A,Website,25.17,0,Email,2024-06-16,3637.03
ORD00037,CUST9838,34,Male,Mumbai,MH,PROD579,Books,BrandC,3,2648.41,30,Yes,Card,Cancelled,3,3,46,1,WH-A,Mobile App,25.26,0,Google,2024-03-03,5561.66
ORD00038,CUST6393,34,Male,Mumbai,TN,PROD406,Beauty,BrandB,3,3642.81,5,Yes,Card,Shipped,2,13,48,0,WH-B,Website,19.05,0,Instagram,2024-08-04,10382.01
ORD00039,CUST9792,21,Female,Bangalore,TN,PROD330,Fashion,BrandB,2,1087.19,5,Yes,COD,Returned,4,6,25,0,WH-A,Website,27.23,1,Email,2024-12-27,2065.66
ORD00040,CUST9433,22,Female,Chennai,MH,PROD800,Fashion,BrandA,3,554.03,0,Yes,UPI,Shipped,3,14,48,1,WH-C,Mobile App,16.92,1,Direct,2025-10-07,1662.09
ORD00041,CUST8513,40,Female,Delhi,WB,PROD591,Sports,BrandD,1,3363.85,25,Yes,Card,Delivered,1,7,33,1,WH-B,Mobile App,18.7,0,Facebook,2024-09-13,2522.89
ORD00042,CUST3612,63,Other,Bangalore,TN,PROD868,Electronics,BrandA,4,2471.59,15,Yes,Net Banking,Shipped,4,7,5,0,WH-B,Website,6.44,1,Google,2024-02-25,8403.41
ORD00043,CUST8041,69,Other,Delhi,MH,PROD219,Sports,BrandC,5,3364.97,5,No,Card,Returned,3,8,30,1,WH-B,Mobile App,38.46,0,Instagram,2024-10-21,15983.61
ORD00044,CUST7235,27,Other,Chennai,WB,PROD385,Sports,BrandA,2,1965.63,25,No,UPI,Shipped,3,5,2,1,WH-B,Mobile App,30.12,1,Facebook,2025-04-01,2948.44
ORD00045,CUST6486,63,Female,Delhi,TS,PROD884,Fashion,BrandA,5,3778.9,0,Yes,Card,Delivered,2,13,57,1,WH-A,Website,30.88,1,Facebook,2024-09-10,18894.5
ORD00046,CUST8099,45,Male,Hyderabad,TN,PROD506,Beauty,BrandB,4,3444.74,0,No,Net Banking,Returned,1,6,44,1,WH-B,Website,32.53,0,Instagram,2025-04-15,13778.96
ORD00047,CUST1775,50,Female,Hyderabad,MH,PROD457,Home,BrandB,5,3286.68,30,No,COD,Delivered,5,6,52,1,WH-A,Mobile App,30.13,0,Instagram,2025-04-29,11503.38
ORD00048,CUST9226,60,Other,Hyderabad,TN,PROD989,Sports,BrandC,2,235.09,15,Yes,Card,Returned,3,9,42,1,WH-A,Website,35.37,1,Direct,2024-07-17,399.65
ORD00049,CUST4152,43,Other,Mumbai,WB,PROD251,Books,BrandD,5,4304.81,30,No,UPI,Shipped,4,13,34,1,WH-B,Website,5.8,0,Instagram,2025-07-27,15066.84
ORD00050,CUST2585,67,Male,Chennai,MH,PROD697,Beauty,BrandD,3,1945.37,20,No,Card,Returned,1,9,14,0,WH-C,Website,8.66,0,Instagram,2024-05-21,4668.89
ORD00051,CUST4943,65,Female,Bangalore,WB,PROD424,Books,BrandC,3,764.52,5,No,UPI,Shipped,5,13,10,0,WH-A,Mobile App,19.69,0,Facebook,2025-04-25,2178.88
ORD00052,CUST8555,46,Male,Bangalore,TS,PROD956,Sports,BrandC,4,3802.38,20,No,Card,Delivered,5,3,39,1,WH-A,Mobile App,35.16,1,Google,2025-07-16,12167.62
ORD00053,CUST4073,44,Female,Kolkata,KA,PROD938,Beauty,BrandA,3,2483.73,0,No,Card,Returned,5,5,58,1,WH-A,Website,15.12,1,Facebook,2024-05-13,7451.19
ORD00054,CUST2021,35,Other,Bangalore,DL,PROD345,Electronics,BrandA,5,256.83,20,No,COD,Shipped,3,7,21,1,WH-B,Website,31.16,0,Facebook,2024-09-27,1027.32
ORD00055,CUST4843,57,Male,Hyderabad,KA,PROD925,Books,BrandD,1,3931.17,20,No,COD,Returned,2,12,56,0,WH-C,Website,14.4,1,Facebook,2024-04-17,3144.94
ORD00056,CUST8989,27,Male,Hyderabad,TN,PROD414,Home,BrandA,5,2231.68,15,No,Card,Shipped,5,1,55,0,WH-A,Mobile App,39.95,1,Facebook,2025-09-15,9484.64
ORD00057,CUST7873,59,Female,Kolkata,WB,PROD904,Fashion,BrandA,1,3799.14,0,No,UPI,Returned,5,11,25,1,WH-A,Mobile App,34.44,1,Google,2024-03-04,3799.14
ORD00058,CUST6675,22,Female,Mumbai,MH,PROD261,Electronics,BrandB,5,3802.4,10,No,Net Banking,Shipped,4,14,47,1,WH-A,Website,21.15,0,Google,2025-03-07,17110.8
ORD00059,CUST1161,27,Female,Bangalore,WB,PROD711,Sports,BrandC,1,589.69,5,No,COD,Shipped,5,3,37,1,WH-C,Website,36.06,0,Email,2025-02-25,560.21
ORD00060,CUST5297,67,Other,Chennai,TN,PROD468,Sports,BrandC,1,3104.81,30,No,Card,Delivered,1,7,56,0,WH-A,Mobile App,26.18,1,Email,2025-06-24,2173.37
ORD00061,CUST1995,38,Female,Kolkata,MH,PROD284,Home,BrandB,2,1864.67,15,Yes,UPI,Shipped,2,3,39,0,WH-C,Mobile App,9.55,1,Email,2025-05-25,3169.94
ORD00062,CUST8629,41,Other,Bangalore,KA,PROD375,Books,BrandB,2,2777.37,15,No,Card,Cancelled,2,6,31,1,WH-A,Mobile App,28.05,1,Facebook,2024-02-09,4721.53
ORD00063,CUST2016,55,Female,Mumbai,WB,PROD628,Books,BrandA,5,533.88,10,Yes,Card,Returned,5,13,14,1,WH-C,Mobile App,23.08,0,Instagram,2025-11-01,2402.46
ORD00064,CUST8869,20,Female,Chennai,DL,PROD535,Home,BrandC,3,2982.1,15,Yes,COD,Returned,3,8,5,1,WH-C,Website,12.08,1,Facebook,2025-01-05,7604.36
ORD00065,CUST7439,57,Other,Chennai,TS,PROD359,Home,BrandD,2,3909.95,0,No,UPI,Delivered,3,8,25,1,WH-A,Website,7.83,0,Google,2025-02-17,7819.9
ORD00066,CUST8892,48,Female,Mumbai,TS,PROD344,Sports,BrandC,1,4935.39,15,No,Card,Cancelled,5,8,45,1,WH-C,Website,35.93,0,Instagram,2025-11-02,4195.08
ORD00067,CUST7863,58,Other,Bangalore,TN,PROD917,Sports,BrandD,5,1669.37,15,No,COD,Shipped,5,1,2,1,WH-B,Website,18.45,0,Facebook,2024-11-15,7094.82
ORD00068,CUST8916,54,Other,Delhi,TN,PROD437,Fashion,BrandB,3,860.11,10,Yes,UPI,Returned,3,11,35,0,WH-C,Mobile App,35.98,0,Instagram,2024-10-21,2322.3
ORD00069,CUST9529,19,Female,Bangalore,WB,PROD149,Home,BrandC,5,1892.92,5,Yes,UPI,Returned,5,3,48,0,WH-C,Website,31.06,1,Facebook,2024-01-01,8991.37
ORD00070,CUST1878,19,Female,Kolkata,KA,PROD371,Beauty,BrandB,1,194.58,25,Yes,Card,Shipped,4,5,20,0,WH-C,Mobile App,6.04,1,Google,2025-11-20,145.94
ORD00071,CUST5887,56,Male,Kolkata,KA,PROD334,Fashion,BrandC,2,2102.99,5,No,Card,Cancelled,4,6,10,1,WH-C,Website,33.49,1,Instagram,2024-01-20,3995.68
ORD00072,CUST5859,66,Female,Bangalore,DL,PROD683,Beauty,BrandD,2,4581.49,20,Yes,UPI,Returned,5,3,40,0,WH-C,Website,13.1,0,Direct,2024-10-24,7330.38
ORD00073,CUST7331,59,Male,Hyderabad,DL,PROD928,Electronics,BrandB,4,1052.32,30,No,UPI,Cancelled,3,7,6,0,WH-C,Mobile App,19.64,0,Instagram,2025-07-20,2946.5
ORD00074,CUST9571,61,Female,Kolkata,WB,PROD655,Home,BrandA,4,2440.83,0,No,COD,Delivered,4,6,42,1,WH-C,Mobile App,17.46,1,Facebook,2025-04-23,9763.32
ORD00075,CUST9684,51,Other,Delhi,MH,PROD405,Fashion,BrandC,5,2905.82,10,Yes,Net Banking,Delivered,3,11,33,0,WH-B,Mobile App,5.48,1,Direct,2025-09-18,13076.19
ORD00076,CUST8208,59,Other,Hyderabad,KA,PROD576,Books,BrandD,5,981.54,30,No,UPI,Cancelled,5,6,14,1,WH-B,Mobile App,34.91,0,Google,2025-05-07,3435.39
ORD00077,CUST6276,37,Male,Delhi,MH,PROD587,Fashion,BrandA,3,1717.52,5,No,Card,Delivered,5,2,51,1,WH-C,Website,29.69,0,Facebook,2024-09-27,4894.93
ORD00078,CUST3062,50,Female,Chennai,MH,PROD179,Electronics,BrandB,2,4565.65,10,Yes,UPI,Cancelled,5,13,49,0,WH-B,Mobile App,21.37,0,Google,2024-09-15,8218.17
ORD00079,CUST1064,21,Male,Kolkata,WB,PROD385,Electronics,BrandC,2,1549.07,25,No,Card,Shipped,4,10,26,0,WH-B,Mobile App,18.6,1,Google,2025-09-10,2323.6
ORD00080,CUST9006,62,Female,Hyderabad,DL,PROD660,Electronics,BrandC,4,3213.28,20,No,Net Banking,Returned,2,6,22,0,WH-C,Website,38.57,1,Instagram,2024-08-29,10282.5
ORD00081,CUST3568,61,Female,Bangalore,MH,PROD197,Fashion,BrandA,1,771.06,30,No,UPI,Delivered,2,10,14,0,WH-C,Mobile App,35.63,1,Direct,2024-05-25,539.74
ORD00082,CUST6463,28,Other,Hyderabad,WB,PROD577,Sports,BrandA,1,3382.35,30,Yes,Card,Cancelled,2,5,36,1,WH-C,Mobile App,39.48,1,Email,2025-10-14,2367.64
ORD00083,CUST3027,59,Male,Chennai,DL,PROD505,Beauty,BrandB,4,1467.81,5,No,Card,Cancelled,4,3,44,0,WH-C,Website,16.29,0,Google,2024-10-01,5577.68
ORD00084,CUST3695,64,Other,Delhi,MH,PROD636,Books,BrandA,5,1233.19,10,No,Card,Cancelled,3,11,50,0,WH-A,Mobile App,27.12,1,Direct,2025-05-06,5549.36
ORD00085,CUST6258,22,Other,Chennai,MH,PROD825,Books,BrandC,2,708.41,25,Yes,COD,Returned,2,1,23,0,WH-A,Mobile App,15.49,1,Direct,2024-06-27,1062.62
ORD00086,CUST6618,42,Other,Mumbai,DL,PROD667,Beauty,BrandC,2,329.44,0,No,Card,Returned,2,9,16,0,WH-B,Website,7.15,1,Email,2024-03-24,658.88
ORD00087,CUST7736,66,Male,Kolkata,TS,PROD354,Books,BrandC,2,4842.51,30,No,Net Banking,Returned,1,8,25,1,WH-A,Website,34.57,0,Email,2024-12-24,6779.51
ORD00088,CUST1391,54,Female,Bangalore,DL,PROD767,Electronics,BrandC,1,2128.13,0,Yes,Card,Delivered,5,6,43,0,WH-B,Website,20.18,0,Facebook,2025-11-28,2128.13
ORD00089,CUST6892,51,Female,Delhi,TN,PROD586,Books,BrandA,5,3910.32,20,No,UPI,Returned,2,13,19,0,WH-C,Mobile App,35.61,1,Google,2025-08-07,15641.28
ORD00090,CUST4561,26,Male,Chennai,TN,PROD772,Sports,BrandA,1,4608.44,5,No,Net Banking,Cancelled,2,7,42,0,WH-C,Website,20.45,1,Email,2024-04-23,4378.02
ORD00091,CUST7184,23,Female,Bangalore,WB,PROD293,Sports,BrandD,5,1099.7,5,No,Card,Returned,3,12,11,0,WH-B,Website,6.6,0,Email,2025-04-18,5223.58
ORD00092,CUST4099,35,Male,Kolkata,WB,PROD615,Electronics,BrandB,4,4362.26,30,Yes,Net Banking,Delivered,5,2,30,1,WH-A,Mobile App,6.67,0,Instagram,2024-05-11,12214.33
ORD00093,CUST7278,31,Male,Bangalore,KA,PROD563,Home,BrandA,5,3569.32,0,Yes,UPI,Returned,4,6,25,0,WH-C,Mobile App,29.32,1,Google,2024-08-29,17846.6
ORD00094,CUST9392,36,Female,Kolkata,TN,PROD879,Fashion,BrandB,1,2932.09,25,Yes,Net Banking,Cancelled,4,5,31,1,WH-C,Mobile App,30.5,1,Facebook,2024-11-28,2199.07
ORD00095,CUST4104,31,Other,Kolkata,DL,PROD603,Home,BrandA,2,4064.48,30,Yes,COD,Shipped,1,11,59,0,WH-C,Website,39.47,0,Direct,2024-08-05,5690.27
ORD00096,CUST8215,57,Male,Kolkata,TN,PROD135,Sports,BrandD,1,642.26,20,No,COD,Delivered,3,10,17,0,WH-C,Website,19.96,1,Google,2024-07-20,513.81
ORD00097,CUST3454,34,Male,Chennai,TS,PROD115,Electronics,BrandA,4,1391.64,15,Yes,Net Banking,Cancelled,3,1,26,1,WH-A,Mobile App,33.48,0,Email,2024-10-28,4731.58
ORD00098,CUST9996,52,Male,Kolkata,WB,PROD988,Fashion,BrandC,2,742.15,30,Yes,Card,Returned,5,2,6,1,WH-C,Website,15.38,1,Google,2025-02-17,1039.01
ORD00099,CUST3731,46,Male,Bangalore,TS,PROD748,Beauty,BrandA,1,4490.26,0,No,Card,Delivered,3,9,11,0,WH-B,Mobile App,13.44,0,Instagram,2025-03-20,4490.26
ORD00100,CUST9154,59,Female,Mumbai,WB,PROD689,Books,BrandB,2,584.11,0,No,Card,Delivered,1,7,1,0,WH-C,Website,5.98,0,Email,2025-12-11,1168.22
ORD00101,CUST6056,34,Female,Bangalore,TS,PROD922,Sports,BrandC,4,4901.76,10,No,Card,Cancelled,5,5,13,0,WH-C,Mobile App,23.63,0,Direct,2025-06-21,17646.34
ORD00102,CUST9110,60,Male,Chennai,WB,PROD172,Fashion,BrandA,5,638.47,20,No,UPI,Delivered,3,9,16,1,WH-C,Website,13.39,1,Facebook,2025-12-26,2553.88
ORD00103,CUST4840,25,Other,Kolkata,DL,PROD419,Fashion,BrandC,5,3342.92,15,No,UPI,Delivered,3,7,11,1,WH-A,Mobile App,25.99,1,Instagram,2025-03-04,14207.41
ORD00104,CUST2028,18,Female,Mumbai,TS,PROD344,Home,BrandC,3,3336.42,25,No,COD,Shipped,2,7,22,0,WH-C,Mobile App,16.41,0,Instagram,2024-02-11,7506.94
ORD00105,CUST8385,62,Other,Chennai,MH,PROD957,Beauty,BrandC,2,4663.11,30,No,Net Banking,Delivered,2,5,36,1,WH-C,Website,30.35,0,Instagram,2025-07-15,6528.35
ORD00106,CUST1502,53,Other,Delhi,WB,PROD839,Home,BrandD,4,1683.35,20,Yes,UPI,Shipped,1,5,32,1,WH-C,Website,27.64,1,Facebook,2025-08-31,5386.72
ORD00107,CUST7910,24,Male,Delhi,TN,PROD294,Home,BrandB,1,1726.86,20,Yes,COD,Cancelled,2,3,3,0,WH-B,Mobile App,37.89,1,Email,2025-05-03,1381.49
ORD00108,CUST7938,63,Female,Delhi,MH,PROD857,Home,BrandB,1,4246.84,0,No,Card,Returned,3,4,27,1,WH-C,Website,21.87,0,Instagram,2024-07-16,4246.84
ORD00109,CUST5488,22,Male,Mumbai,TN,PROD188,Home,BrandA,3,4895.02,0,No,COD,Cancelled,2,6,16,1,WH-C,Website,14.04,0,Instagram,2025-07-07,14685.06
ORD00110,CUST1206,41,Male,Bangalore,WB,PROD871,Sports,BrandC,1,247.68,0,No,UPI,Shipped,3,12,37,1,WH-A,Mobile App,20.26,0,Facebook,2025-10-24,247.68
ORD00111,CUST6134,45,Other,Mumbai,DL,PROD897,Beauty,BrandA,4,3213.05,30,Yes,Net Banking,Returned,5,6,27,1,WH-C,Mobile App,38.35,0,Google,2025-07-10,8996.54
ORD00112,CUST6977,60,Other,Mumbai,MH,PROD238,Home,BrandB,4,1293.83,10,Yes,UPI,Returned,2,12,54,0,WH-A,Mobile App,26.04,1,Facebook,2024-09-01,4657.79
ORD00113,CUST8721,34,Other,Mumbai,MH,PROD662,Sports,BrandC,5,3667.02,15,No,Net Banking,Delivered,1,13,35,1,WH-B,Mobile App,26.6,0,Direct,2024-10-09,15584.84
ORD00114,CUST8035,54,Male,Delhi,WB,PROD758,Books,BrandB,2,3886.32,25,No,Net Banking,Delivered,4,7,2,1,WH-C,Mobile App,38.33,0,Direct,2024-08-04,5829.48
ORD00115,CUST2484,37,Male,Hyderabad,TS,PROD853,Sports,BrandC,2,3836.38,25,No,Card,Returned,3,6,18,1,WH-A,Website,39.0,0,Email,2024-12-25,5754.57
ORD00116,CUST8858,20,Male,Bangalore,WB,PROD496,Fashion,BrandC,1,2234.0,15,No,Net Banking,Returned,1,6,48,1,WH-B,Website,37.87,1,Direct,2025-10-19,1898.9
ORD00117,CUST1863,54,Male,Hyderabad,WB,PROD583,Fashion,BrandD,2,873.23,30,No,Net Banking,Delivered,3,5,25,0,WH-B,Website,23.2,0,Instagram,2025-02-18,1222.52
ORD00118,CUST3790,43,Male,Hyderabad,KA,PROD486,Electronics,BrandC,3,2965.35,30,No,Card,Shipped,3,6,36,0,WH-C,Mobile App,30.1,0,Facebook,2024-11-20,6227.23
ORD00119,CUST8408,32,Male,Mumbai,DL,PROD467,Sports,BrandA,2,3966.29,20,Yes,COD,Returned,5,3,19,1,WH-C,Mobile App,17.95,1,Direct,2024-11-15,6346.06
ORD00120,CUST9755,68,Male,Bangalore,TS,PROD945,Electronics,BrandB,1,4569.76,25,No,Net Banking,Returned,3,8,42,0,WH-B,Website,37.29,1,Instagram,2025-02-19,3427.32
ORD00121,CUST6116,65,Male,Hyderabad,DL,PROD557,Sports,BrandB,2,2317.96,25,Yes,UPI,Returned,4,6,25,1,WH-C,Mobile App,35.91,1,Email,2024-08-02,3476.94
ORD00122,CUST7019,25,Female,Kolkata,WB,PROD521,Home,BrandB,4,1303.81,25,No,UPI,Returned,4,3,39,0,WH-A,Mobile App,29.46,1,Facebook,2024-08-26,3911.43
ORD00123,CUST2757,30,Female,Mumbai,KA,PROD331,Home,BrandC,4,682.23,0,Yes,COD,Returned,4,8,21,0,WH-C,Website,10.16,1,Facebook,2024-07-30,2728.92
ORD00124,CUST8574,65,Female,Mumbai,WB,PROD638,Electronics,BrandA,5,4008.25,25,Yes,COD,Delivered,1,1,38,1,WH-A,Mobile App,17.53,0,Google,2024-07-12,15030.94
ORD00125,CUST7374,20,Female,Mumbai,WB,PROD443,Home,BrandD,5,2722.96,20,No,UPI,Shipped,5,1,40,0,WH-A,Mobile App,37.68,0,Email,2025-02-03,10891.84
ORD00126,CUST7892,18,Male,Kolkata,DL,PROD819,Home,BrandD,5,3403.5,0,No,Net Banking,Delivered,1,5,12,0,WH-A,Website,33.29,0,Direct,2024-09-19,17017.5
ORD00127,CUST2678,26,Male,Kolkata,KA,PROD237,Fashion,BrandA,5,880.28,20,Yes,Net Banking,Cancelled,1,4,29,0,WH-B,Website,9.45,1,Email,2025-07-15,3521.12
ORD00128,CUST4242,48,Other,Delhi,DL,PROD473,Home,BrandA,2,132.24,20,Yes,Card,Returned,4,7,7,0,WH-A,Mobile App,38.52,0,Direct,2025-10-28,211.58
ORD00129,CUST5636,58,Other,Chennai,WB,PROD536,Fashion,BrandA,1,4841.15,10,Yes,COD,Cancelled,1,2,57,1,WH-C,Website,8.91,1,Instagram,2024-03-03,4357.04
ORD00130,CUST2059,43,Female,Bangalore,TN,PROD254,Beauty,BrandC,2,4073.35,25,No,Net Banking,Cancelled,3,11,29,0,WH-A,Mobile App,5.54,0,Facebook,2025-02-27,6110.02
ORD00131,CUST7668,34,Other,Chennai,MH,PROD618,Sports,BrandC,1,2060.13,10,No,COD,Delivered,2,2,32,1,WH-C,Website,21.45,1,Email,2024-07-23,1854.12
ORD00132,CUST4157,51,Female,Mumbai,TS,PROD214,Fashion,BrandD,1,2340.02,25,Yes,Net Banking,Shipped,3,6,11,0,WH-B,Mobile App,36.74,1,Instagram,2025-10-13,1755.02
ORD00133,CUST6915,26,Male,Hyderabad,WB,PROD191,Books,BrandA,1,4652.42,30,Yes,COD,Returned,1,2,37,0,WH-B,Mobile App,9.49,0,Instagram,2024-03-24,3256.69
ORD00134,CUST3693,68,Male,Mumbai,TS,PROD445,Books,BrandA,1,1117.49,20,Yes,UPI,Cancelled,5,5,47,0,WH-A,Mobile App,6.86,0,Instagram,2024-04-23,893.99
ORD00135,CUST4627,30,Other,Hyderabad,KA,PROD693,Fashion,BrandB,4,4033.86,30,No,UPI,Cancelled,3,8,15,0,WH-C,Website,32.69,1,Email,2025-11-08,11294.81
ORD00136,CUST6450,22,Male,Delhi,TN,PROD624,Fashion,BrandD,1,187.85,0,No,Net Banking,Cancelled,1,9,26,1,WH-A,Mobile App,21.65,1,Email,2025-11-05,187.85
ORD00137,CUST2663,58,Male,Chennai,TS,PROD683,Books,BrandC,2,4390.99,30,Yes,Card,Delivered,5,12,2,1,WH-A,Mobile App,39.99,0,Email,2025-04-17,6147.39
